"Distance above the trace","Distance au dessus de la trace",,src/main/java/controller/KmlViewController.java:352,
"Camera timer","Timer de la caméra",,src/main/java/controller/KmlViewController.java:353,
"Camera recoil","Recul de la camera",,src/main/java/controller/KmlViewController.java:354,
"Camera tilt","Inclinaison caméra",,src/main/java/controller/KmlViewController.java:355,
"GPS alt","Alti GPS",,"src/main/java/trackgps/checkAirspace.java:430
src/main/java/trackgps/checkAirspace.java:436
src/main/java/controller/KmlViewController.java:356",
"Baro alt","Alti Baro",,src/main/java/controller/KmlViewController.java:357,
OK,Valider,,"src/main/java/controller/KmlViewController.java:359
src/main/java/controller/SiteFormController.java:1119
src/main/java/controller/ConfigViewController.java:940
src/main/java/controller/ConfigViewController.java:951
src/main/java/controller/ConfigViewController.java:960
src/main/java/littlewins/winAirDraw.java:144
src/main/java/littlewins/winPoint.java:114
src/main/java/littlewins/winGlider.java:127
src/main/java/littlewins/winAirSearch.java:68
src/main/java/littlewins/winComment.java:76
src/main/java/littlewins/winRename.java:103",
"Last updated date","Date de mise à jour",,src/main/java/controller/SiteFormController.java:692,
"Not found","Non trouvé",,src/main/java/controller/SiteFormController.java:750,
"Incomplete input","La saisie est incomplète",,src/main/java/controller/SiteFormController.java:932,
"Accepted characters","Caractères acceptés",,src/main/java/controller/SiteFormController.java:1070,
"Fills fields with the button values","Remplit les champs avec les valeurs du bouton",,src/main/java/controller/SiteFormController.java:1081,
"OpenStreetMap search with name","Recherche OpenStreetMap sur le nom",,src/main/java/controller/SiteFormController.java:1085,
Orientation,Orientation,,"src/main/java/controller/SiteFormController.java:1104
src/main/java/controller/SitesViewController.java:907",
City,Localité,,"src/main/java/controller/SiteFormController.java:1105
src/main/java/littlewins/winOsmCities.java:73
src/main/java/littlewins/winSearchCities.java:102
src/main/java/littlewins/winSiteChoice.java:114",
"ZIP code","Code Postal",,"src/main/java/controller/SiteFormController.java:1106
src/main/java/controller/SitesViewController.java:905",
Country,Pays,,"src/main/java/controller/SiteFormController.java:1107
src/main/java/littlewins/winSiteList.java:88
src/main/java/littlewins/winOsmCities.java:83
src/main/java/littlewins/winSearchCities.java:112
src/main/java/littlewins/winCsv.java:300",
"Take off",Décollage,,"src/main/java/trackgps/analyse.java:428
src/main/java/controller/SiteFormController.java:1108
src/main/java/controller/SitesViewController.java:909
src/main/java/controller/ManualViewController.java:551
src/main/java/controller/PhotoTagViewController.java:967
src/main/java/leaflet/map_visu.java:434
src/main/java/leaflet/map_visu.java:700",
Landing,Atterissage,,"src/main/java/trackgps/analyse.java:436
src/main/java/controller/SiteFormController.java:1109
src/main/java/controller/SitesViewController.java:910
src/main/java/controller/PhotoTagViewController.java:968
src/main/java/leaflet/map_visu.java:443
src/main/java/leaflet/map_visu.java:775",
"Take-off alt","Alti déco",,src/main/java/controller/SiteFormController.java:1116,
Comment,Commentaire,,"src/main/java/controller/SiteFormController.java:1117
src/main/java/controller/CarnetViewController.java:856
src/main/java/controller/CarnetViewController.java:956
src/main/java/controller/CarnetViewController.java:1890
src/main/java/controller/ManualViewController.java:553
src/main/java/littlewins/winCsv.java:305",
Geolocation,Géolocalisation,,src/main/java/controller/SiteFormController.java:1120,
"Move marker to change coordinates","Déplacer le marqueur pour modifier les coordonnées",,src/main/java/controller/SiteFormController.java:1121,
Edit/Duplicate,Editer/Dupliquer,,src/main/java/controller/CarnetViewController.java:193,
